1796,1000,MWD35LGZ0MY,0,C6G 8X7,3.14
365,999,MZV71NLK3SW,0.5,E7K 5G8,3.14
1623,998,FWH18JUC1SX,1,E9E 9A7,3.14
679,997,KBB23FZS7FN,1.5,43862,3.14
439,996,LIK12TID9FE,2,55758,3.14
61,995,VVS50GDN6ZE,2.5,15157,3.14
848,994,IAO22SYU3QJ,3,R2A 4U0,3.14
1335,993,XPG87CBJ2QB,3.5,91223,3.14
1985,992,FDH85MNS4YM,4,53182,3.14
1910,991,YIH29JXY4DF,4.5,14942,3.14
937,990,WUE37QYI0DE,5,B2P 4J5,3.14
1406,989,GND37YNE8XL,5.5,U3N 2Z1,3.14
232,988,HEG44HQC6ZR,6,F2L 6Y3,3.14
241,987,CGA55VTC9TG,6.5,B4I 5Y6,3.14
306,986,AGD75IXA9VK,7,Y7C 5G9,3.14
445,985,JWY69ZBH5ZX,7.5,01777,3.14
264,984,QTC41EKV2WC,8,C5A 1B9,3.14
52,983,CHO01FCI0VB,8.5,L8F 9Y3,3.14
661,982,TQE87HHU3IU,9,L1W 5G0,3.14
1254,981,PCL62WKL7JV,9.5,C4H 9F5,3.14
410,980,AWN82ZXB4EE,10,T3N 4M3,3.14
1669,979,XEE72GEP1JD,10.5,J1X 2F8,3.14
152,978,HJF44ZSA3FK,11,D6J 8W6,3.14
14,977,LUJ51TPC9VZ,11.5,13258,3.14
413,976,HVO42TPU1LQ,12,40586,3.14
1388,975,OHT40TMF0ST,12.5,80745,3.14
1893,974,FDS36JBB4OX,13,G5K 1Y4,3.14
1504,973,KRV14SAN4MA,13.5,S2B 1U4,3.14
214,972,WWR79XFK9DW,14,55460,3.14
306,971,RNO15XWT9XN,14.5,A4F 7C2,3.14
1214,970,HPM44DZB5RB,15,35251,3.14
385,969,JWD23MIT6ZV,15.5,51505,3.14
2040,968,FPB82COP6WC,16,04617,3.14
28,967,QBT30PGQ7TS,16.5,T9X 8U1,3.14
1845,966,ISO18JGH0KA,17,B1U 4D3,3.14
1308,965,TCK43DLH9FL,17.5,51479,3.14
1618,964,ZGU32VLJ5VM,18,42087,3.14
877,963,AES94DVZ3GS,18.5,A7O 8C8,3.14
1350,962,OEG36FWX2SQ,19,78372,3.14
1087,961,NFW79DVQ7RT,19.5,33756,3.14
797,960,TOH92YRA7AS,20,52140,3.14
237,959,OWT25NUV8NK,20.5,91021,3.14
628,958,DVI88AWK2BV,21,E4E 9Q6,3.14
913,957,LNG99UWC8BG,21.5,F1L 1Y4,3.14
1948,956,JSA10EPF1FX,22,64863,3.14
1195,955,MLK56NTU9VS,22.5,U1D 8H1,3.14
1955,954,WKB02PTR4JA,23,84341,3.14
1887,953,DXW96HTT4OA,23.5,48059,3.14
614,952,DSZ51AOY4YJ,24,85574,3.14
338,951,BGX47XDH7DV,24.5,49445,3.14
1212,950,LCO80XMX4AR,25,17102,3.14
1919,949,ZIF74BOX0BI,25.5,67616,3.14
1480,948,CDQ51HKJ0OL,26,M4O 7F9,3.14
1570,947,TXU81JLY0PP,26.5,67418,3.14
1486,946,PGT16ZRC5JI,27,10398,3.14
1218,945,IIO39DEQ8PV,27.5,34005,3.14
1424,944,AGV56DBT2LR,28,A1L 6K3,3.14
1441,943,OZO17ILF3MV,28.5,N1V 1R9,3.14
205,942,LEO12PDS1NB,29,00428,3.14
1528,941,RBC18CRX9SP,29.5,80131,3.14
812,940,YHC17EZW2KC,30,D7C 2X9,3.14
653,939,PXG34EDN2NQ,30.5,49757,3.14
1984,938,NPE96GBK3GI,31,P9F 8F6,3.14
31,937,IFH88YIT7WM,31.5,40937,3.14
306,936,JDN64VFJ0BO,32,08937,3.14
1614,935,IBO09AUJ0RR,32.5,80936,3.14
774,934,EXS19HYB1WL,33,67928,3.14
1866,933,GQG33YCD9AM,33.5,46618,3.14
1234,932,KUR56CMI8MN,34,37360,3.14
1351,931,OEV52HGQ9WU,34.5,41517,3.14
491,930,GGO17CWD8FT,35,83168,3.14
720,929,ZDZ90TSM9HQ,35.5,58900,3.14
1477,928,EXV01PZZ9CQ,36,46945,3.14
2039,927,FGM15DWC0WF,36.5,P4Y 4L0,3.14
39,926,KAY56TZI7LW,37,61276,3.14
713,925,RUJ59LDJ3OV,37.5,P3M 5T1,3.14
588,924,SMA13TUL9PD,38,G9S 8X1,3.14
1946,923,HNN19CIL6BP,38.5,70993,3.14
1397,922,SVR39ZOX6JU,39,30382,3.14
519,921,YNR55GLK3JI,39.5,00573,3.14
1093,920,SXL32GEQ3MM,40,74049,3.14
1351,919,RKB07JTW4HP,40.5,82626,3.14
2011,918,MWP83CJC4KN,41,B2W 2F6,3.14
1015,917,YNX21RCK3JC,41.5,V9Y 6H0,3.14
41,916,KNL99NDW6IN,42,H1B 6E7,3.14
1331,915,PCZ64VQJ5YL,42.5,39929,3.14
970,914,JVC73GAK2OP,43,F2C 2W5,3.14
106,913,NXO43CUH0BG,43.5,40613,3.14
1775,912,DUD63EXO2CL,44,19674,3.14
2043,911,UGH83NJS5ZW,44.5,89706,3.14
220,910,EOR46DEV1VO,45,83811,3.14
284,909,QOW15SDJ6WJ,45.5,Z5X 6Y5,3.14
1618,908,CKX99MUH3XL,46,O9I 7N0,3.14
1784,907,XST20SVZ3TO,46.5,W9B 8X5,3.14
1241,906,EWN63BPQ7DR,47,04324,3.14
187,905,CLL80OSZ6OW,47.5,D1A 6Q3,3.14
1459,904,GZN36EJB5RN,48,79060,3.14
1359,903,IZH88LAW4RN,48.5,37881,3.14
961,902,BMN61BGW0IM,49,A8B 3R8,3.14
1558,901,STG32CTA8RD,49.5,S6X 3S9,3.14
1189,900,PZY00YXC2PZ,50,37270,3.14
664,899,MBF11PVT4EM,50.5,T1K 7F4,3.14
1233,898,DOV75VBI0TI,51,F4P 4O1,3.14
390,897,IRJ80CXM7CY,51.5,F5F 9B0,3.14
2022,896,JCT74YCC3QH,52,Y9W 7B9,3.14
1333,895,NST40YZH8BI,52.5,44619,3.14
1177,894,FAW83JVH2OI,53,F8W 9J9,3.14
1883,893,IGV35SUZ3YX,53.5,19702,3.14
295,892,VPJ39NPU4OD,54,M5Q 3W2,3.14
7,891,RFI51FTB9TJ,54.5,O9M 9W0,3.14
1158,890,RLD88QHL9DR,55,88239,3.14
956,889,DBL84OLJ0KF,55.5,Z8N 1R3,3.14
1491,888,YUR14PXI8II,56,L4T 3V3,3.14
1577,887,EKE34DGA2XJ,56.5,81696,3.14
447,886,XAB23JRT1ZP,57,T7W 9D3,3.14
120,885,KKH37GEZ8EQ,57.5,B6E 3Z5,3.14
1863,884,TRX31QCB5GL,58,68996,3.14
373,883,DQB22EIX3PX,58.5,46539,3.14
1561,882,ABV52GFX0DV,59,29332,3.14
1297,881,OPO91LVR0KB,59.5,E1C 9Q3,3.14
485,880,VGI91BGC4QI,60,E9P 1B0,3.14
1897,879,SDI71NVH5MQ,60.5,39020,3.14
301,878,NCP14QJI2MK,61,K1L 7W6,3.14
523,877,RXT15NLL5SM,61.5,25349,3.14
1977,876,UHF26NQU9JR,62,63545,3.14
159,875,XYN56ZGY5PJ,62.5,51874,3.14
1066,874,HBI24ZXC3LM,63,53709,3.14
984,873,AEL57VCH9YB,63.5,L4M 7Q9,3.14
1550,872,NAC94XLX7MU,64,N9Q 1S4,3.14
378,871,ZLD08PKI3AG,64.5,N3F 5U1,3.14
1855,870,RVJ40WLQ9EB,65,E5G 2I8,3.14
1209,869,RFP93DFN5AQ,65.5,R5W 2M7,3.14
1222,868,CST18XRD1AZ,66,71264,3.14
852,867,WAZ86MOC3SO,66.5,H7U 1W6,3.14
1991,866,OTC67UIX0ZJ,67,83470,3.14
1991,865,HCI06KIJ1JG,67.5,38544,3.14
661,864,FSF37PVO9IH,68,25156,3.14
1611,863,ZXE12KAQ2PB,68.5,92315,3.14
112,862,TKP77XSA5VP,69,P6A 7T3,3.14
332,861,UYJ30ZIH3LX,69.5,F3A 9A9,3.14
1332,860,AKM65CFO8ZW,70,T8J 2U3,3.14
902,859,CSX90CHC0IA,70.5,34199,3.14
500,858,ENC13CWE4AZ,71,40530,3.14
1351,857,LJT46UEA2IY,71.5,O2S 6G0,3.14
1564,856,DGG12COH6XJ,72,J7C 8K8,3.14
2016,855,KCH32WMZ5SB,72.5,V3N 9N6,3.14
1073,854,UIL16UWS5GP,73,66809,3.14
1536,853,MZH20OBI0AV,73.5,56097,3.14
1405,852,TPK38AXM7UM,74,59681,3.14
1407,851,JGA42VFU4GT,74.5,Y5T 4V6,3.14
766,850,SCC56UBP4XU,75,G1D 7H9,3.14
1948,849,BJF85EHI5CY,75.5,80936,3.14
1542,848,KFE30HOA4HH,76,G4T 5E3,3.14
1299,847,MQE55BKP0TF,76.5,14944,3.14
569,846,BMS37CQE8CI,77,S8T 8J3,3.14
1924,845,UXZ51TSO7FA,77.5,G5S 6I8,3.14
505,844,MQI87BQO9AW,78,87838,3.14
1280,843,BLJ24JOA0EI,78.5,48576,3.14
667,842,VHW73SQD4NM,79,D5U 5V2,3.14
1783,841,JHZ56WYL3RC,79.5,44527,3.14
669,840,XWV43EOX9BS,80,Y1N 9P1,3.14
1535,839,NOD26WSC4ZV,80.5,86630,3.14
1564,838,WYS96YWS4TI,81,58160,3.14
1706,837,NUX97TUQ4KZ,81.5,D8K 8U0,3.14
1682,836,QTH30WXX0NZ,82,07705,3.14
1067,835,VDY21LJY8GS,82.5,03637,3.14
1467,834,FQQ21PCF3WG,83,30933,3.14
229,833,USB69UNA1EJ,83.5,85558,3.14
1363,832,CXW47DHD2HM,84,32248,3.14
390,831,GJF35OGL1UY,84.5,40834,3.14
1134,830,MTR70DGL3NW,85,S2Q 9N1,3.14
924,829,UPO55MZO3HA,85.5,77548,3.14
1392,828,SGB21IYG9VT,86,H5T 8C3,3.14
713,827,BWQ39NDS0PN,86.5,37758,3.14
243,826,MDC38GPK0LN,87,U6E 4Y0,3.14
1937,825,BUZ62SYB5MY,87.5,90729,3.14
1944,824,WJY28GBL4NJ,88,44340,3.14
1295,823,EZR64PHL6ZS,88.5,95988,3.14
1710,822,EXG64QEW0MI,89,D5B 8D5,3.14
866,821,KZC47SJG6GC,89.5,40704,3.14
792,820,FIK66MVC5QF,90,B6D 2A8,3.14
1717,819,KCN62ABG7CR,90.5,H9O 9Q0,3.14
1604,818,SQK97MOW6PS,91,Z8Y 6Z9,3.14
1376,817,GST98AXL9NN,91.5,21118,3.14
1346,816,STG34SHG6XG,92,54333,3.14
480,815,JHR38FDB3IF,92.5,Z9A 3F4,3.14
1946,814,MTQ39GZL5HW,93,61599,3.14
1490,813,DAC41JKC3QI,93.5,58621,3.14
1212,812,LEB04XWC0JC,94,C2A 2Q2,3.14
1117,811,BIY66UGL4MQ,94.5,X8B 9G9,3.14
1632,810,IAE40GQA4HG,95,35901,3.14
1501,809,HQD72DRA2PH,95.5,K6E 6A2,3.14
1689,808,RGH94HHB2IG,96,58031,3.14
477,807,ZEL54PZB8OB,96.5,J7G 6S7,3.14
1905,806,AUD30BYX1HA,97,H2V 8Q4,3.14
1772,805,RGK72UNM4GG,97.5,G1N 6B5,3.14
1087,804,ZTU91CFY9VJ,98,56228,-3.14
67,803,TJM05WGP3WR,98.5,36616,-3.14
1665,802,HVT26DBE7HL,99,32972,-3.14
1160,801,RME03VAS4SX,99.5,N2Y 3K5,-3.14
